,smiles
281,ClC1=C2C(NC(=O)C=3C=CC(=CC3)C)=C(SC2=CC=C1Cl)C#N
282,FC(F)(F)C=1C=C(CNC2C(=NC=3C=CN=CC3)C(=O)C2=O)C=CC1
283,C1=CC=C2C(=C1)/C(=C\C3=C(NC4=C3C=CC=C4)Cl)/C(=O)N2
284,N1C=NC=C1/C=C/2\C(=O)NC3=CC=C(OC)C=C23
285,C1CN(CCC1C(N)C2=CC=CC=C2)C3=NC=NC4=C3C=CN4
286,ClC1=CC=C(CNC(=O)NC=2C3=C(NN=C3)C=CC2)C=C1
287,S1N=C2C(=N1)C=CC=C2NC(=O)NN=CC=3C(O)=CC(O)=CC3
288,S1C=2C(=C(C3=CC=C(S(=O)(=O)C)C=C3)C=NC2)C=C1C(=O)N
289,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2
290,C1(C2=CC(=NO2)CC3=CC=CC=C3)=CC=C4C(=C1)C=NN4
291,BrC1=CC=2N(C3=C(O)C=C(O)C(Cl)=C3)C(O)=NC2C=C1
292,ClC1=CC=C(CNC2=NN3C(=NN=C3C=C2)C=4C=CC=CC4)C=C1
293,O(C1=CC(C=C(C=2NN=C(N)C2C#N)C#N)=CC=C1O)C
294,FC(F)(F)C1=CC2=NC=CC(NC(=O)NC=3N=CC=NC3)=C2C=C1
295,C=1(N2C=C(N=N2)CC3=CC=CC=C3)C=CC4=C(C1)C=NN4
296,O=C(NC1=NNC2=NC=3C(C=C21)=CC=CC3)C=4C=CN=CC4
298,C1(NC(N)=O)=CC=C2C(=C1)C(C(C=3NC=CC3)=C)=C(O)N2
299,C=12C(=NC=NC1C=C3C(N=CN3C)=C2)NC4=CC(Br)=CC=C4
300,S1C=C(C=2N3C(=NC2C)C=CC=C3)N=C1NC=4C=CC(=CC4)O
302,O=C(NC=1SC=2CCCCC2C1C#N)C=3C=CC=C4C=CC=CC34
303,C=1C(Cl)=CC=CC1NC=2N=C(N=C3C2N=CN3C(C)C)NCCO
304,C1(=C(C=CC=C1)C(F)(F)F)C(C#N)C(SC2=CC=C(C=C2)N)=N
305,S(=O)(=O)(NC1=CC=C(C=2C=C3C(NN=C3N)=CC2)C=C1)CCC
306,C1=CC=C(C=C1NC(=O)C)C2=CN=C3C(=C2)C(=NN3)C
307,ClC=1C(=C2C(=NC1N3CC(CC3)CN)N=CC(=C2O)C(=O)O)C
308,O=C1N(C(=O)C2=C3C1=CC=C(NCCCC)C3=CC=C2)CCNCCO
310,O1N=C(C=C1C=2C=C3C(NN=C3)=CC2)C(=O)N4CCCCC4
311,C=1(C(=NOC1C)C=2C=CC=CC2)C=3N=C(N=CC3)NC(C)=O
312,C1(=C(C2=CNC3=C2C=CC=C3)C(=O)NC1=O)C4=CNC5=C4C=CC=C5
313,ClC1=NC(=NC(C=2C3=C(NC2)N=CC=C3)=C1)NC4CCCCC4
314,C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1
315,O=C\1NC2=C(/C1=C(/C=3NC=CC3)\C)C=C(NC(=O)N)C=C2
316,C=1(NC2=CC=C(OC(=O)CCC)C=C2C1)C(C=3NC=4C=CC=CC4C3)=O
317,N1C=2N=CC=CC2C(C=3N=C(N=CC3)NC4CCC(N)CC4)=C1
318,O(C1=CC=C(NC=2N=CN=C3C2C=CC=C3)C=C1)CC4=CC=CC=C4
319,C1CN(CCC1C(N)C2=CC=C(C=C2)Cl)C3=NC=NC=4NC=CC34
321,N1C(=NC2=C1C=C(C(C)(C)C)C=C2)C3=NNC4=C3C=CC=C4
322,C=1(C=CC2=C(C1)C=NN2)C=3N=C4N(C3NC(C)C)C=CC=N4
323,S1C(C=2N(N=NC2C(=O)NN=CC=3SC=CC3)C4=NON=C4N)=CC=C1
324,BrC1=C(N=C2N=CC(=C(O)C2=C1C)C(=O)O)N3CC(NC)CC3
325,S1C=2N=C(C=CC2C(N)=C1C(=O)NC=3SC=C(N3)C)C=4C=CN=CC4
326,C=1C=NC(NC2=CC=C(N3CCOCC3)C=C2)=NC1C=4SC(=NC4C)N
327,O1N=C(C(=O)N2CC(O)CCC2)C=C1C=3C=C4C(NN=C4)=CC3
328,C1(=C(N(C=2C=CC(=CC2)Cl)N=C1C3=CC=NC=C3)O)C=4C=CC(=CC4)F
329,C=1(N=C(C(=CN1)C(=O)N)NC2=CC(=CC=C2)C(F)(F)F)NCCN
330,BrC=1C(C=C(C=2NC3=C(N2)C=CC=C3)C#N)=CC(OC)=C(O)C1
331,ClC=1C(CCCO)=CC=2OCCCCCOC3=NC(NC(=O)NC2C1)=CN=C3C#N
332,ClC1=CC=C(C=C1)NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2
334,O=C(N1N=C(NC(=O)CCC)C=2C1=NC=3C(C2)=CC=CC3)CC
335,ClC=1C=CC(C(=O)NC=2C=C3C(C4=CC=CC=C4)=CNC3=NC2)=CC1
