Knock-out Genes,Method Names,MACCS Scores,The Most Similar Inhibitors,Result Mols
AKT1,Cosine Search,0.73,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)Cc4ccccc4)cc3C1=O
AKT1,Cosine Search,0.71,ClC=1C(CCCO)=CC=2OCCCCCOC3=NC(NC(=O)NC2C1)=CN=C3C#N,Cc1noc(C)c1NC(=O)NCC[C@H]1CC[C@H](NC(=O)c2ccc(F)cc2)[C@H](CO)O1
AKT1,Cosine Search,0.71,C=1C(=C(C(C2=CC=CC=C2)=NC1NC(C)=O)C#N)N,Cc1ccc(cc1)C(=O)/N=c2/cccc[nH]2
AKT1,Cosine Search,0.73,C(N1CCC[C@@]2(CCN(C=3N=CN=C(C3C4CC4)N)C2)C1)[C@H](O)CNS(C5=C(ON=C5C)C)(=O)=O,Cc1ccccc1S(=O)(=O)NCC[C@H]1CC[C@@H](NS(=O)(=O)c2ccccc2C)[C@H](CO)O1
AKT1,Cosine Search,0.56,O=C(NC(C1=CC=CC=C1)CO)C2=CC=C(C=3C=CN=CC3)C=C2,OC[C@H]1N[C@H](C#N)[C@@H]1c1ccc(cc1)C#CC1CCCCC1
AKT1,Cosine Search,0.86,C=1(C(NS(C=2C=CC(F)=CC2)(=O)=O)=CC(=CN1)C=3C=CC=4N(C3)C=C(N4)NC(C)=O)Cl,CC1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(N)(=O)=O
AKT1,Cosine Search,0.64,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,CC(C)CN1CCN(CC1)C(=O)COC(=O)c1ccc(c(c1)[N+]([O-])=O)S(C)(=O)=O
AKT1,Cosine Search,0.75,N1(CCC(CC1)C2=NC=3C(N2)=CC=CC3)CC4=CC=C(C=C4)C=5N=CC(=CC5C6=CC=CC=C6)C#N,C(Cn1c2ccccc2c3ccccc13)c4nc5ccccc5[nH]4
AKT1,Cosine Search,0.59,N1(CCC(N)(CC2=CC=C(C=C2)C(C)(C)C)CC1)C3=NC=NC=4NC=CC34,CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1
AKT1,Cosine Search,0.58,C(N[C@H](C(=O)NCCN1C(C=CC1=O)=O)CC=2C=CC=CC2)(=O)OC(C)(C)C,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O
